Date,Expire Date,Option Type, Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
19.03.2016,24.03.2016,Call,0.50,SUNE160324C00000500,1.85,1.43,1.72,0.00,0.00%,0,0,1062.50%
19.03.2016,24.03.2016,Call,1.00,SUNE160324C00001000,1.13,1.01,1.21,0.00,0.00%,9,18,568.75%
19.03.2016,24.03.2016,Call,1.50,SUNE160324C00001500,0.60,0.54,0.68,-0.01,-1.64%,5,640,268.75%
19.03.2016,24.03.2016,Call,2.00,SUNE160324C00002000,0.24,0.21,0.30,0.01,4.35%,2621,4693,173.44%
19.03.2016,24.03.2016,Call,2.50,SUNE160324C00002500,0.06,0.05,0.09,-0.03,-33.33%,1840,3184,171.88%
19.03.2016,24.03.2016,Call,3.00,SUNE160324C00003000,0.03,0.03,0.04,0.01,50.00%,1436,1403,212.50%
19.03.2016,24.03.2016,Call,3.50,SUNE160324C00003500,0.02,0.00,0.11,0.00,0.00%,20,149,312.50%
19.03.2016,24.03.2016,Call,4.00,SUNE160324C00004000,0.01,0.00,0.02,-0.04,-80.00%,50,145,256.25%
19.03.2016,24.03.2016,Call,4.50,SUNE160324C00004500,0.00,0.00,0.09,0.00,0.00%,0,0,390.63%
19.03.2016,24.03.2016,Call,5.00,SUNE160324C00005000,0.00,0.00,0.08,0.00,0.00%,0,0,418.75%
19.03.2016,24.03.2016,Call,5.50,SUNE160324C00005500,0.00,0.00,0.07,0.00,0.00%,0,0,437.50%
19.03.2016,24.03.2016,Put,0.50,SUNE160324P00000500,0.03,0.00,0.09,0.00,0.00%,10,41,862.50%
19.03.2016,24.03.2016,Put,1.00,SUNE160324P00001000,0.02,0.00,0.02,0.00,0.00%,50,3870,337.50%
19.03.2016,24.03.2016,Put,1.50,SUNE160324P00001500,0.03,0.03,0.05,-0.03,-50.00%,730,1317,250.00%
19.03.2016,24.03.2016,Put,2.00,SUNE160324P00002000,0.16,0.13,0.16,-0.05,-23.81%,538,865,193.75%
